City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port saint john's,-31.6229,29.5448,20.65,92,100,3.77,ZA,1733111693
83,northam,51.0333,-4.2167,9.78,90,50,9.4,GB,1733111694
84,ebon,4.582,168.6964,28.14,76,77,5.1,MH,1733111695
85,greater sudbury,46.49,-80.99,-3.86,89,35,0.89,CA,1733111698
86,la paz,-16.5,-68.15,11.43,76,75,1.03,BO,1733111699
87,olonkinbyen,70.9221,-8.7187,-10.75,74,100,12.81,SJ,1733111700
88,hanceville,34.0607,-86.7675,5.11,82,0,2.37,US,1733111701
89,port alfred,-33.5906,26.891,16.77,94,100,4.32,ZA,1733111702
90,port hedland,-20.3167,118.5667,36.03,38,96,8.75,AU,1733111703
91,georgetown,5.4112,100.3354,29.97,62,20,2.57,MY,1733111705
92,isafjordur,66.0755,-23.124,-11.43,75,51,3.96,IS,1733111706
93,isiro,2.7739,27.616,17.69,86,6,0.96,CD,1733111707
94,revda,56.801,59.9303,-3.87,91,96,4.9,RU,1733111708
95,kotlas,61.2611,46.6556,2.21,98,100,5.02,RU,1733111709
96,afaahiti,-17.75,-149.2833,26.47,79,80,5.6,PF,1733111711
97,bima,-8.4667,118.7167,31.05,72,95,2.15,ID,1733111685
98,fale old settlement,-9.3852,-171.2468,28.79,74,40,6.63,TK,1733111713
99,coxim,-18.5067,-54.76,26.72,67,69,3.38,BR,1733111715
100,constantia,44.1833,28.65,4.38,76,100,7.15,RO,1733111645
101,yellowknife,62.456,-114.3525,-18.66,97,100,2.57,CA,1733111492
102,ust-nera,64.5667,143.2,-16.19,98,100,0.63,RU,1733111720
103,ushuaia,-54.8,-68.3,4.81,75,0,6.69,AR,1733111721
104,bo phloi,14.3236,99.5161,28.1,59,99,2.28,TH,1733111722
105,sebdou,34.637,-1.3314,11.42,59,100,0.09,DZ,1733111723
106,rawalpindi,33.6007,73.0679,15.13,70,8,1.21,PK,1733111724
107,warrnambool,-38.3833,142.4833,23.92,53,66,1.3,AU,1733111725
108,pisco,-13.7,-76.2167,19.03,88,0,6.69,PE,1733111727
109,papatowai,-46.5619,169.4708,15.19,69,100,3.86,NZ,1733111728
110,kidodi,-7.6036,37.0044,23.83,76,83,0.3,TZ,1733111729
111,stefan voda,46.5153,29.6631,0.79,78,100,2.84,MD,1733111730
112,la sierpe,21.7717,-79.2684,21.17,95,48,3.26,CU,1733111731
113,tofol,5.3248,163.0078,30.88,70,75,3.6,FM,1733111732
114,waingapu,-9.6567,120.2641,32.59,61,99,6.12,ID,1733111733
115,namibe,-15.1961,12.1522,20.18,81,91,1.92,AO,1733111734
